detectorName,detectorNum,detectorID,slot,channel,x,y
hodo_y,0,0,-1,-1,0,5.5
hodo_y,1,1,-1,-1,0,4.5
hodo_y,2,2,4,4,0,3.5
hodo_y,3,3,5,0,0,2.5
hodo_y,4,4,5,1,0,1.5
hodo_y,5,5,5,2,0,0.5
hodo_y,6,6,5,3,0,-0.5
hodo_y,7,7,5,4,0,-1.5
hodo_y,8,8,6,0,0,-2.5
hodo_y,9,9,6,1,0,-3.5
hodo_y,10,10,-1,-1,0,-4.5
hodo_y,11,11,-1,-1,0,-5.5
hodo_x,0,12,-1,-1,-5.5,0
hodo_x,1,13,-1,-1,-4.5,0
hodo_x,2,14,6,2,-3.5,0
hodo_x,3,15,6,3,-2.5,0
hodo_x,4,16,6,4,-1.5,0
hodo_x,5,17,9,0,-0.5,0
hodo_x,6,18,9,1,0.5,0
hodo_x,7,19,9,2,1.5,0
hodo_x,8,20,9,3,2.5,0
hodo_x,9,21,9,4,3.5,0
hodo_x,10,22,-1,-1,4.5,0
hodo_x,11,23,-1,-1,5.5,0
lyso,0,0,1,0,-1,1
lyso,1,2,1,1,0,1
lyso,2,1,1,2,1,1
lyso,3,3,1,3,-1.5,0
lyso,4,4,1,4,-0.5,0
lyso,5,7,2,0,0.5,0
lyso,6,8,2,1,1.5,0
lyso,7,6,2,2,-1,-1
lyso,8,9,2,3,0,-1
lyso,9,5,2,4,1,-1
nai,0,0,4,0,0,5
nai,1,1,4,1,5,0
nai,2,2,4,2,-5,0
nai,3,3,4,3,0,-5
t0,0,0,3,0,0,0
veto,0,0,3,1,0,0
rf,0,0,3,2,0,0
monitor,0,0,3,3,0,0
monitor,1,1,3,4,0,0
